Name                                             ;Stufe;Schule      ;Zeit                          ;Entfernung                                        ;Ziel/effekt/Bereich                                                                                                                                   ;Wirkungsdauer                                                                                    ;Komponenten                                                                                         ;Rettungswurf                                                                          ;Zauberresistenz                           ;Quelle /Seite
Arkanes Siegel                                   ;0    ;Allgemein   ;1 Standard-Aktion             ;Berührung                                         ;Eine persönliche Rune oder ein persönliches Siegel, das in ein Feld von 9dm2 passen muss                                                              ;Permanent                                                                                        ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 245
Aufblitzen                                       ;0    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Lichtexplosion                                                                                                                                        ;Augenblicklich                                                                                   ;V                                                                                                   ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;GRW 246
Ausbessern                                       ;0    ;Verwandlung ;10 Minuten                    ;3m                                                ;Ein Gegenstand von bis zu 1 Pfd./ Stufe                                                                                                               ;Augenblicklich                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung (harmlos, Gegenstand)                                           ;Ja (harmlos, Gegenstand)                  ;GRW 247
Ausbluten                                        ;0    ;Nekromantie ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine lebende Kreatur                                                                                                                                  ;Augenblicklich                                                                                   ;V, G                                                                                                ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 247
Benommenheit                                     ;0    ;Verzauberung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine humanoide Kreatur mit 4 oder weniger TW                                                                                                          ;1 Runde                                                                                          ;V, G, M (ein wenig Wolle oder ein ähnliches Material)                                               ;Willen, keine Wirkung                                                                 ;Ja                                        ;GRW 251
Botschaft                                        ;0    ;Verwandlung ;1 Standard-Aktion             ;Mittel (30m + 3m/ Stufe)                          ;Eine Kreatur/ Stufe                                                                                                                                   ;10 Min./ Stufe                                                                                   ;V, G, F (ein Stückchen Kupferdraht)                                                                 ;Nein                                                                                  ;Nein                                      ;GRW 255
Erschöpfende Berührung                           ;0    ;Nekromantie ;1 Standard-Aktion             ;Berührung                                         ;Berührte Kreatur                                                                                                                                      ;1 Runde/ Stufe                                                                                   ;V, G, M (ein Schweißtropfen)                                                                        ;Zähigkeit, keine Wirkung                                                              ;Ja                                        ;GRW 269
Funken                                           ;0    ;Hervorrufung;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Ein Mini -Gegenstand                                                                                                                                  ;Augenblicklich                                                                                   ;V oder G                                                                                            ;Zähigkeit, keine Wirkung (Gegenstand)                                                 ;Ja (Gegenstand)                           ;EXP 222
Geisterhaftes Geräusch                           ;0    ;Illusion    ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Illusionäres Geräusch                                                                                                                                 ;1 Runde/ Stufe (A)                                                                               ;V, G, M (ein Stückehen Wolle oder ein kleiner Klumpen Wachs)                                        ;Willen, anzweifeln (falls Grund vorhanden)                                            ;Nein                                      ;GRW 281
Gift entdecken                                   ;0    ;Erkenntnis  ;1 Standard-Aktion             ;Nah (7,50m + 1,50m/2 Stufen)                      ;Eine Kreatur, ein Gegenstand oder ein Würfel mit 1,50 m Kantenlänge                                                                                   ;Augenblicklich                                                                                   ;V, G                                                                                                ;Nein                                                                                  ;Nein                                      ;GRW 283
